NICKNAME;E-MAIL;NOME;COGNOME;0;0;0;GENERE;GENERE MUSICAL;0;
Ciccio;lacarbonarafabio18@gmail.com;Fabio;Lacarbonara;2001;6;18;MASCHIO;POP;3273965395;
Ciccio1;claudiofanelli37@gmail.com;Claudio;Fanelli;2001;10;19;MASCHIO;ROCK;3663087956;
Ciccio2;lucafagioli@gmail.com;Luca;Fagioli;1992;2;10;MASCHIO;JAZZ;3498716423;
Pasticcio;giusepperusso@gmail.com;Giuseppe;Russo;1993;6;7;MASCHIO;CLASSICA;4225211636;
Zerea;antonio.russo@gmail.com;Antonio ;Russo;1980;5;2;MASCHIO;HEAVY-METAL;3480720723;
Volildeti;antonio.esposito@gmail.com;Antonio ;Esposito;1983;2;3;MASCHIO;BLUES;51309517;
Uttan;giuseppe.rossi@gmail.com;Giuseppe;Rossi;1987;8;24;MASCHIO;PUNK;2464538185;
Vblood;elinda.loconsole@gmail.com;Elinda;Loconsole;2003;1;26;FEMMINA;HIP-HOP;768898598;
PrincessFreedomluca.fanelli@gmail.com;luca.fanelli@gmail.com;Luca;Fanelli;2002;9;4;MASCHIO;POP;3400115562;
ChickenPepito;enzo.fanelli@gmail.com;Enzo;Fanelli;1998;10;1;MASCHIO;PUNK;3739437749;
GoodSword;felice.natale@gmail.com;Felice;Natale;1972;11;8;MASCHIO;ALTRO;2051397685;
ZaffiroCane;alessio.lacarbonara@gmail.com;Alessio;Lacarbonara;1976;5;25;MASCHIO;BLUES;1398132461;
SkyPotato;giuseppe.lacarbonara@gmail.com;Giuseppe;Lacarbonara;1985;6;16;MASCHIO;CLASSICA;3413597420;
DemonicNova;mariapia.lacarbonara@gmail.com;Mariapia;Lacarbonara;2005;1;11;FEMMINA;JAZZ;1025031990;
CyberAlpha;giovanna.ferrari@gmail.com;Giovanna;Ferrari;2011;6;19;FEMMINA;POP;2685951255;
WitcherX;angela.bianchi@gmail.com;Angela;Bianchi;1962;7;29;FEMMINA;PUNK;1227136432;
BetaSushi;francesco.colombo@gmail.com;Francesco;Colombo;1969;9;10;MASCHIO;ROCK;2629160315;
HulkBlue;sara.vizzuso@gmail.com;Sara;Vizzuso;1971;12;5;FEMMINA;HIP-HOP;974638526;
ChickenGhost;federico.lauriola@gmail.com;Federico;Lauriola;1984;10;22;MASCHIO;CLASSICA;2499079039;
HydroPoke;federico.quinto@gmail.com;Federico;Quinto;2000;5;27;MASCHIO;HEAVY-METAL;3811280430;
Hade;agostino.veltri@gmail.com;Agostino;Veltri;1988;4;28;MASCHIO;ALTRO;317699413;
Xjust;alessandro.crispo@gmail.com;Alessandro;Crispo;1998;3;15;MASCHIO;CLASSICA;2062091254;
GalacticMumba;alessio.capusso@gmail.com;Alessio;Capusso;1990;1;14;MASCHIO;PUNK;3785821689;
NinjaLord;alessandro.fasano@gmail.com;Alessandro;Fasano;1980;2;16;MASCHIO;POP;601447134;
DreamNaruto;alice.azzariti@gmail.com;Alice;Azzariti;1981;9;6;FEMMINA;HEAVY-METAL;1495618247;
FantasyRussian;andrea.magnici@gmail.com;Andrea;Magnici;1989;10;3;MASCHIO;ROCK;3881912917;
LuckBolt;chiara.cazzolla@gmail.com;Chiara;Cazzolla;1999;12;23;FEMMINA;BLUES;3041981653;
Sunstun;claudia.grimaldi@gmail.com;Claudia;Grimaldi;2009;11;13;FEMMINA;PUNK;1861407238;
LegendDoctor;daniela.franco@gmail.com;Daniela;Franco;2008;4;26;FEMMINA;HIP-HOP;2721251532;
CaptainRed;daniele.busso@gmail.com;Daniele;Busso;2001;6;4;MASCHIO;CLASSICA;1466520713;
RealityColossusdaniele.lucarelli@gmail.com;daniele.lucarelli@gmail.com;Daniele ;Lucarelli;1972;8;2;MASCHIO;ALTRO;531168972;
RushMoon;dario.calloni@gmail.com;Dario;Calloni;1970;7;24;MASCHIO;HEAVY-METAL;3825983224;
Banana;filippo.tallone@gmail.com;Filippo;Tallone;1988;9;9;MASCHIO;CLASSICA;3108082587;
DogTek;davide.facchini@gmail.com;Davide;Facchini;1694;10;21;MASCHIO;BLUES;2233561702;
OneWhite;erica.milella@gmail.com;Erica;Milella;1963;5;20;MASCHIO;JAZZ;3421081953;
GoodAura;fabio.quinto@gmail.com;Fabio;Quinto;1981;12;7;MASCHIO;HIP-HOP;83189391;
PrettyTyra;francesco.tunzi@gmail.com;Francesco;Tunzi;1984;10;12;MASCHIO;PUNK;2711348702;
BadBad;giada.tamma@gmail.com;Giada;Tamma;1961;5;16;FEMMINA;ROCK;3498483853;
PoneyDevil;gianluca.floro@gmail.com;Gianluca;Floro;1968;8;17;MASCHIO;ALTRO;3586206191;
WarriorCrazy;giorgia.lopez@gmail.com;Giorgia;Lopez;1967;7;18;FEMMINA;POP;359722391;
TrollLotus;irma.marzulli@gmail.com;Irma;Marzulli;1973;9;4;MASCHIO;PUNK;176011580;
LotusPetito;ivan.coscia@gmail.com;Ivan;Coscia;1988;1;20;MASCHIO;BLUES;2518823080;
Axel;michele.daspada@gmail.com;Michele;Daspada;2004;11;1;MASCHIO;JAZZ;2624122338;
DrakeDoor;marcella.carbone@gmail.com;Marcella ;Carbone;1989;9;5;FEMMINA;ALTRO;2872327505;
SasukeChichen;marco.minerva@gmail.com;Marco;Minerva;2003;7;21;MASCHIO;HIP-HOP;1487054499;
WorldPython;massimo.iongo@gmail.com;Massimo;Iongo;1970;8;18;MASCHIO;HEAVY-METAL;719106501;
SunNight;nicola.ferrara@gmail.com;Nicola;Ferrara;1961;3;23;MASCHIO;CLASSICA;2450452046;
